image,cov_%,psnr_G1,psnr_G2,psnr_final,ssim_G1,ssim_G2,ssim_final
095204,24.8,8.2,23.2,27.12,0.168,0.8287,0.9094
050862,21.2,8.04,24.48,27.83,0.1579,0.7673,0.8687
019648,23.6,9.98,24.59,26.38,0.277,0.7824,0.8661
149993,23.9,5.95,18.04,28.13,0.1856,0.6924,0.9238
009193,20.6,9.93,24.4,28.89,0.1989,0.7663,0.8916
162302,22.1,6.44,19.77,27.51,0.1785,0.7383,0.9211
073940,22.6,8.77,20.53,26.13,0.1584,0.6859,0.8573
079896,21.0,8.68,21.85,28.05,0.1267,0.7029,0.7982
152809,20.7,7.57,20.75,26.44,0.2133,0.7391,0.8763
003691,21.5,9.89,22.71,27.09,0.1885,0.7614,0.8647
157465,20.8,9.28,21.8,24.94,0.2698,0.7694,0.8638
066852,23.2,9.17,23.47,26.42,0.175,0.7742,0.8726
